gene	divergence	chrom	start
DLG1	0.0	NC_071456.1	18579056
DLG2	0.0004017598738170347	NC_071452.1	51935405
DLG4	0.0	NC_071446.1	69837948
DLGAP1	0.00013528136363636365	NC_071454.1	54055676
DLGAP3	0.0004387408888888889	NC_071448.1	68564267
DLGAP4	0.0	NC_071446.1	688183
DLX4	0.0	NC_071446.1	112433109
DMAP1	0.0	NC_071448.1	77985471
DMBT1	0.005544030000000001	NC_071453.1	112627844
DMBT1L1	0.0050082426315789475	NC_071453.1	112775861
DMD	0.0	NC_071464.1	31064376
DMPK	0.0	NC_071463.1	38523103
DMRTA1	0.0009231994999999999	NC_071442.1	126459458
DMRTB1	0.00113379	NC_071448.1	87659112
DMWD	0.0005111171428571428	NC_071463.1	38524547
DMXL1	0.0005646528571428571	NC_071443.1	87210858
DMXL2	0.001449276	NC_071451.1	34929605
DNAAF5	0.0	NC_071443.1	56563659
DNAAF9	0.000297265	NC_071446.1	8676836
DNAH1	0.0002244954347826087	NC_071456.1	28614373
DNAH11	0.00040584454545454545	NC_071449.1	33567536
DNAH12	0.0	NC_071456.1	32947628
DNAH17	0.0	NC_071446.1	130300737
DNAH2	0.0	NC_071446.1	70483565
DNAH5	0.002475817777777778	NC_071443.1	188145764
DNAH7	8.124133333333334e-06	NC_071447.1	113096914
DNAH8	0.0	NC_071445.1	43268751
DNAH9	0.00040315284090909094	NC_071446.1	74220421
DNAI1	0.0	NC_071442.1	138406007
DNAI3	0.000111934	NC_071448.1	119501815
DNAI4	0.0	NC_071448.1	101181989
DNAI7	0.0	NC_071450.1	42640332
DNAJA3	0.0	NC_071453.1	4265992
DNAJA4	0.00207039	NC_071451.1	23207955
DNAJB13	0.0	NC_071452.1	63722184
DNAJB14	0.0	NC_071444.1	93579614
DNAJB5	0.0	NC_071442.1	138920042
DNAJB9	0.0	NC_071449.1	76389982
DNAJC10	0.0	NC_071447.1	43018483
DNAJC13	0.0026120040000000002	NC_071458.1	44683986
DNAJC22	0.0	NC_071450.1	66655793
DNAJC24	0.0	NC_071452.1	93528259
DNAJC25	0.0	NC_071442.1	157029454
DNAJC3	0.0	NC_071442.1	10778955
DNAJC5B	2.3811e-05	NC_071457.1	20224515
DNAJC6	0.00176367	NC_071448.1	99636640
DNAJC8	0.00728155	NC_071448.1	61971672
DNAJC9	0.0001827935	NC_071453.1	53358109
DNASE2B	0.00564972	NC_071448.1	118796574
DNER	0.0	NC_071447.1	147400824
DNHD1	0.0006649884081196581	NC_071452.1	68894004
DNM1	0.0	NC_071442.1	173864327
DNM3	0.0	NC_071459.1	23898633
DNMBP	0.0	NC_071453.1	89541040
DNMT3B	0.0	NC_071446.1	4355754
DNTT	0.00045045	NC_071453.1	85788308
DOC2B	0.0	NC_071446.1	60208361
DOCK1	0.0	NC_071453.1	117014591
DOCK10	0.0	NC_071447.1	143042378
DOCK11	0.0	NC_071464.1	110531764
DOCK2	0.00017482525	NC_071443.1	58691486
DOCK3	0.0	NC_071456.1	27432116
DOCK4	0.0	NC_071449.1	79573291
DOCK7	0.0	NC_071448.1	96775604
DOCK8	0.0	NC_071442.1	103608820
DOCK9	0.0005921669215686275	NC_071442.1	13854460
DOK3	0.000331565	NC_071443.1	65415195
DOK4	0.0	NC_071461.1	12010657
DOK5	0.0	NC_071446.1	47894475
DOP1A	0.0	NC_071445.1	84767870
DOT1L	0.00038138782608695656	NC_071463.1	1813043
DPF3	0.0007883287857142858	NC_071451.1	103410477
DPH6	0.0017611974999999999	NC_071451.1	47060725
DPP4	0.0	NC_071447.1	64428319
DPP6	0.0	NC_071449.1	90617871
DPY19L3	0.0	NC_071463.1	27952217
DPY19L4	0.000512689	NC_071457.1	30731527
DPYD	0.0	NC_071448.1	132465476
DPYS	0.0	NC_071457.1	90759563
DPYSL3	0.0	NC_071443.1	44001750
DRC3	0.0	NC_071446.1	65266397
DRD2	0.001526718	NC_071452.1	10860062
DRP2	0.0	NC_071464.1	94050394
DSC2	0.0	NC_071454.1	69274079
DSC3	0.0	NC_071454.1	69174213
DSCAM	0.000886525	NC_071462.1	44128477
DSCAML1	0.0004150523076923077	NC_071452.1	14880379
DSE	0.00014308615384615384	NC_071445.1	118872481
DSEL	0.000723938	NC_071454.1	105321864
DSG2	0.0	NC_071454.1	69700894
DSG3	0.0	NC_071454.1	69638522
DSG4	0.0	NC_071454.1	69550962
DST	0.00046114396974522294	NC_071445.1	60934074
DSTYK	0.0	NC_071460.1	28873153
DTL	0.0001556177777777778	NC_071460.1	13403138
DTNA	0.0	NC_071454.1	72900483
DTWD1	0.0	NC_071451.1	33153294
DTX1	0.0	NC_071450.1	112558638
DTYMK	0.0	NC_071447.1	159431242
DUOX1	0.0	NC_071451.1	28396740
DUOX2	0.0	NC_071451.1	28350181
DUS1L	0.0003688	NC_071446.1	133769856
DUS2	0.0	NC_071461.1	22248380
DUS4L	0.00105042	NC_071449.1	75325517
DUSP15	0.0	NC_071446.1	5259126
DUSP18	0.00011539342857142857	NC_071442.1	198337378
DUSP22	0.00011373971428571429	NC_071445.1	29909909
DUSP29	0.0010498666666666665	NC_071453.1	51521875
DUSP6	0.00017146766666666666	NC_071450.1	88282345
DUSP7	0.00076805	NC_071456.1	28358189
DVL2	0.000175561875	NC_071446.1	69871475
DYM	0.0	NC_071454.1	87230287
DYNC1I1	0.0	NC_071449.1	50820713
DYNC1I2	0.0	NC_071447.1	54613082
DYNC1LI2	0.0	NC_071461.1	20861501
DYNC2H1	0.0	NC_071452.1	977079
DYNC2I1	0.0	NC_071449.1	86660978
DYNC2I2	0.0	NC_071442.1	174289440
DYRK1A	0.000308071	NC_071462.1	41718070
DYRK2	0.00036245	NC_071450.1	47904790
DYTN	0.0	NC_071447.1	124630337
DZIP1L	0.0	NC_071458.1	39339448
E2F2	0.0	NC_071448.1	57367887
E2F7	0.0	NC_071450.1	76123415
EAF2	0.0	NC_071456.1	75028105
EBF1	0.0	NC_071443.1	19620359
EBF2	0.0	NC_071454.1	12587825
EBF3	0.0	NC_071453.1	119824137
EBNA1BP2	0.0	NC_071448.1	76902761
ECD	0.0	NC_071453.1	53449622
ECE1	0.0	NC_071448.1	55177964
ECEL1	0.0	NC_071447.1	150338473
ECHDC3	0.000601685	NC_071448.1	582203
ECM2	0.0	NC_071442.1	80098545
ECPAS	0.0	NC_071442.1	156828138
ECT2	0.0	NC_071458.1	7240238
EDA	0.0	NC_071464.1	64208420
EDC3	0.00013952833333333336	NC_071451.1	19088962
EDC4	0.0003144656603773585	NC_071461.1	22049162
EDDM3A	0.0	NC_071451.1	51175373
EDEM1	0.000242424	NC_071456.1	56179492
EDIL3	0.0	NC_071443.1	123392750
EDN2	0.0006793475	NC_071448.1	75106286
EDN3	0.000151699	NC_071446.1	52663196
EDNRB	0.0022371366666666666	NC_071442.1	36692571
EEA1	0.0	NC_071450.1	84828386
EEF1AKMT1	0.0	NC_071446.1	136544837
EEF1AKMT2	0.0026782	NC_071453.1	114707007
EEF1D	0.0	NC_071457.1	52331063
EEFSEC	0.00015171714285714286	NC_071456.1	67674366
EEIG1	0.0002394635	NC_071442.1	173627489
EEPD1	0.0	NC_071449.1	4200000
EFCAB11	0.00114111	NC_071451.1	120637498
EFCAB14	0.0	NC_071448.1	80502073
EFCAB5	8.114230769230768e-05	NC_071446.1	99672278
EFCAB6	0.0	NC_071442.1	185106105
EFCAB7	2.9371166666666668e-05	NC_071448.1	97741642
EFCC1	0.0	NC_071456.1	67114084
EFEMP2	0.0024021875000000002	NC_071452.1	119706047
EFHB	0.0	NC_071458.1	51513798
EFHC1	0.00019632500000000002	NC_071445.1	56935394
EFHC2	0.0	NC_071464.1	43643547
EFL1	0.0	NC_071447.1	23725127
EFNA5	0.0	NC_071443.1	99313573
EFNB2	0.000273598	NC_071442.1	21479079
EFR3A	0.0	NC_071457.1	63741993
EFS	0.0	NC_071451.1	53517572
EGF	0.0	NC_071444.1	83359536
EGFL8	0.0	NC_071445.1	35777053
EGFLAM	0.0	NC_071443.1	163965330
EGFR	0.0	NC_071449.1	21799001
EGLN3	0.0	NC_071451.1	64341319
EGR2	0.0	NC_071453.1	64221565
EGR3	0.0001777306666666667	NC_071454.1	15688480
EHD1	0.0009573950000000001	NC_071452.1	118687634
EHF	0.0017094	NC_071452.1	96757649
EHHADH	0.0	NC_071456.1	8009097
EHMT1	0.0003139590361445783	NC_071442.1	183175383
EID2	0.00110988	NC_071463.1	34121945
EIF1AD	0.0	NC_071452.1	119811860
EIF2AK1	0.0	NC_071443.1	13809368
EIF2AK4	0.0	NC_071451.1	42379167
EIF2B2	0.0	NC_071451.1	105813477
EIF4E1B	0.0	NC_071443.1	66360092
EIF4E2	0.0	NC_071447.1	150415884
EIF4E3	0.0	NC_071456.1	47301199
EIF4G3	0.0	NC_071448.1	54886068
ELAC2	0.0	NC_071446.1	75700687
ELAPOR2	0.0	NC_071449.1	59996108
ELAVL2	0.0	NC_071442.1	127729216
ELAVL4	0.0	NC_071448.1	83976658
ELF2	0.0	NC_071444.1	53947240
ELF5	0.0	NC_071452.1	96590385
ELFN1	0.000554631	NC_071443.1	55367126
ELK1	0.0	NC_071464.1	47004737
ELK3	0.0	NC_071450.1	95825686
ELL	0.0	NC_071463.1	16829366
ELL2	0.0	NC_071443.1	111425128
ELMO1	0.0007717857142857142	NC_071449.1	4735045
ELMO2	0.0	NC_071446.1	39594336
ELMO3	0.00593472	NC_071461.1	21353140
ELOC	0.0	NC_071457.1	50592989
ELOVL2	0.0	NC_071445.1	18126742
ELOVL3	0.0	NC_071453.1	91876119
ELOVL4	0.0	NC_071445.1	81474883
ELOVL5	0.0	NC_071445.1	57661463
ELOVL7	0.0	NC_071443.1	145774956
ELP2	0.0026595749999999995	NC_071454.1	74278744
ELP3	0.000673401	NC_071454.1	10409764
ELP4	0.0	NC_071452.1	93617706
ELP5	0.0	NC_071446.1	69903424
EMB	0.0006313125	NC_071443.1	156079414
EMC2	3.021236363636364e-05	NC_071457.1	86701251
EMCN	0.00301205	NC_071444.1	93104003
EMG1	0.0	NC_071450.1	19337079
EMID1	0.0	NC_071442.1	196989189
EMILIN2	0.0	NC_071454.1	55639807
EMILIN3	0.0017316033333333333	NC_071446.1	34712199
EML1	0.002341189534883721	NC_071451.1	130693577
EML3	0.0	NC_071452.1	116651419
EML5	0.000215517	NC_071451.1	119521598
ENAH	0.0	NC_071460.1	19788102
ENDOD1	0.0	NC_071452.1	41882838
ENDOG	0.0006993	NC_071442.1	174466324
ENDOV	0.0	NC_071446.1	132222378
ENG	0.0	NC_071442.1	173523630
ENKD1	0.0	NC_071461.1	21814770
ENO1	0.0	NC_071448.1	43840446
ENO2	0.0	NC_071450.1	19279180
ENO4	0.0	NC_071453.1	106472851
ENOX2	0.0	NC_071464.1	122372011
ENPEP	0.0	NC_071444.1	82805992
ENPP1	0.0	NC_071445.1	134602341
ENPP2	0.0	NC_071457.1	76032993
ENPP3	0.0	NC_071445.1	134392913
ENPP5	0.0	NC_071445.1	50721709
ENPP7	0.0	NC_071446.1	131562597
ENTHD1	0.0	NC_071442.1	187655051
ENTPD4	0.001683501818181818	NC_071454.1	14945231
ENTPD6	0.00013130258823529413	NC_071446.1	29840354
ENTPD8	0.0	NC_071442.1	182899372
ENTREP3	0.0	NC_071459.1	9244273
EP400	0.00156216915	NC_071450.1	131658079
EPB41	0.0	NC_071448.1	62749330
EPB41L2	0.0	NC_071445.1	133587248
EPB41L3	0.0	NC_071454.1	52562928
EPB41L4A	0.0	NC_071443.1	94501663
EPB41L5	0.0	NC_071447.1	101242964
EPB42	0.0	NC_071451.1	26671798
EPC1	0.0	NC_071448.1	30194014
EPC2	0.0	NC_071447.1	78109975
EPG5	0.00128205	NC_071454.1	83908233
EPGN	0.0	NC_071444.1	119962020
EPHA10	0.0	NC_071448.1	71366780
EPHA5	0.00324171	NC_071444.1	127890104
EPHA6	7.1798e-05	NC_071462.1	781872
EPHA7	8.628424242424243e-05	NC_071445.1	95449613
EPHA8	0.00062845625	NC_071448.1	56434816
EPHB1	0.0	NC_071458.1	42031581
EPHB2	0.0004929675	NC_071448.1	56639789
EPHB4	0.0	NC_071443.1	10961978
EPHB6	0.0	NC_071449.1	101905702
EPHX2	0.0	NC_071454.1	11024950
EPN1	0.0	NC_071463.1	47169630
EPN2	0.0	NC_071446.1	79201832
EPS15	0.0	NC_071448.1	85299901
EPS15L1	0.0	NC_071463.1	14633263
EPS8L3	0.0026067693478260866	NC_071448.1	144901948
ERAP2	0.002219816857142857	NC_071443.1	110483198
ERBB2	0.0	NC_071446.1	116245534
ERBIN	3.082142857142857e-05	NC_071443.1	140202029
ERC1	0.0	NC_071450.1	12578350
ERC2	0.0	NC_071456.1	31753037
ERCC4	0.0	NC_071453.1	12857974
ERCC5	0.0	NC_071442.1	17898418
ERCC6L	0.000314268	NC_071464.1	66252237
ERCC6L2	9.99e-05	NC_071442.1	78530033
ERG	0.0	NC_071462.1	42591929
ERI1	0.000579374	NC_071454.1	26642389
ERICH2	0.0	NC_071447.1	55550831
ERICH3	0.0001617075	NC_071448.1	109018931
ERLIN1	0.0	NC_071453.1	89769096
ERLIN2	0.000338868	NC_071454.1	35518363
ERMARD	0.0	NC_071445.1	172584706
ERMP1	4.201675e-05	NC_071442.1	109177751
ERN1	0.0	NC_071446.1	85325799
ERO1A	0.0	NC_071451.1	83047875
ESAM	0.0	NC_071452.1	22102618
ESF1	0.0	NC_071446.1	18761504
ESM1	0.00262123	NC_071443.1	151664932
ESRP2	0.000297796	NC_071461.1	22411446
ESRRG	0.0	NC_071460.1	8632031
ESYT1	0.0	NC_071450.1	59962684
ESYT2	0.0	NC_071449.1	86822604
ETF1	0.0	NC_071443.1	35004073
ETFA	0.0	NC_071451.1	22278128
ETFRF1	0.0	NC_071450.1	42563099
ETNK1	0.0	NC_071450.1	45084730
ETS1	0.0	NC_071452.1	25917281
ETS2	0.0	NC_071462.1	42951935
ETV1	0.0	NC_071449.1	41830583
ETV6	0.0	NC_071450.1	9544264
EVA1C	0.0	NC_071462.1	36890755
EVC2	0.0	NC_071444.1	182100858
EVI5	0.00020389894736842103	NC_071448.1	127445178
EVI5L	0.0	NC_071463.1	7032797
EVPL	0.0	NC_071446.1	128003582
EVX1	0.0	NC_071449.1	28155109
EWSR1	0.0	NC_071442.1	197073222
EXD2	0.0	NC_071451.1	100121396
EXD3	6.8698340248962655e-06	NC_071442.1	182810618
EXOC2	0.00042408833333333336	NC_071445.1	29527859
EXOC4	0.0	NC_071449.1	110474651
EXOC6	0.0	NC_071453.1	82271499
EXOC7	7.33406e-05	NC_071446.1	128078356
EXOSC3	0.001083858	NC_071442.1	141775659
EXOSC4	0.00029935633333333335	NC_071457.1	51864463
EXOSC6	0.00253991	NC_071461.1	28292617
EXT1	0.003125	NC_071457.1	77819090
EXT2	0.0	NC_071452.1	105868676
EYA3	0.0	NC_071448.1	61744623
EYA4	0.006587636363636364	NC_071445.1	135984502
EYS	0.001552795	NC_071445.1	65025988
EZH1	0.0	NC_071446.1	117277033
EZR	0.0	NC_071445.1	161758740
F10	0.0047619	NC_071442.1	27918806
F12	0.0	NC_071443.1	65514110
F13A1	0.0	NC_071445.1	22763779
F2RL2	0.0	NC_071443.1	131179546
F5	0.0	NC_071459.1	26448542
F7	0.005761946666666667	NC_071442.1	27913196
F8	0.0013736275	NC_071464.1	145969902
F9	0.0	NC_071464.1	131757289
FA2H	0.0	NC_071461.1	28695299
FAAP100	0.0	NC_071446.1	133294536
FABP12	0.00854701	NC_071457.1	43497598
FABP5	0.0	NC_071457.1	43706909
FAF1	0.0	NC_071448.1	84453397
FAH	0.0	NC_071447.1	25672332
FAM104A	0.0	NC_071446.1	125284923
FAM107A	0.002861	NC_071456.1	34132815
FAM114A1	0.0007636499999999999	NC_071444.1	151026549
FAM118A	0.00252207	NC_071442.1	212120130
FAM118B	0.0	NC_071452.1	23638178
FAM120A	0.0	NC_071442.1	70441550
FAM120C	0.0	NC_071464.1	52736067
FAM124A	0.00284293	NC_071442.1	63982092
FAM135A	0.0	NC_071445.1	71664872
FAM135B	9.1954e-05	NC_071457.1	57457416
FAM13A	0.0006998570454545454	NC_071444.1	104776875
FAM13B	0.0	NC_071443.1	34418423
FAM13C	0.0	NC_071453.1	67832543
FAM149B1	0.0	NC_071453.1	53371200
FAM162A	0.0	NC_071456.1	74597275
FAM163A	0.0008710800000000001	NC_071459.1	17092041
FAM163B	0.0	NC_071442.1	179272637
FAM166B	0.0	NC_071442.1	139509518
FAM168A	0.0005338635833333333	NC_071452.1	64110176
FAM169A	0.0	NC_071443.1	133005755
FAM171B	0.00343348	NC_071447.1	38973660
FAM172A	2.439512195121951e-06	NC_071443.1	113327801
FAM181A	0.0	NC_071451.1	124636290
FAM184A	0.0	NC_071445.1	121413198
FAM184B	0.000141643	NC_071444.1	172432460
FAM186B	0.00011990399999999998	NC_071450.1	66410511
FAM193A	0.0	NC_071444.1	186697955
FAM193B	0.0007437073913043479	NC_071443.1	65384588
FAM199X	0.0	NC_071464.1	97015107
FAM20B	0.0	NC_071459.1	17780810
FAM20C	0.0	NC_071443.1	57075608
FAM210A	0.0	NC_071454.1	43732254
FAM210B	7.70712e-05	NC_071446.1	49769257
FAM219A	0.0	NC_071442.1	138304629
FAM221B	0.0003021323076923077	NC_071442.1	139747855
FAM222A	0.0006706	NC_071450.1	109107200
FAM227A	0.0	NC_071442.1	206812708
FAM228B	0.0015456	NC_071455.1	89076282
FAM229B	0.0	NC_071445.1	114441791
FAM240A	0.0	NC_071456.1	23055523
FAM3B	0.0	NC_071462.1	45376805
FAM3D	0.000509165	NC_071456.1	34219600
FAM43B	0.000332226	NC_071448.1	54498806
FAM47E	0.0016992585	NC_071444.1	117959562
FAM50B	0.0003335555	NC_071445.1	25356323
FAM72A	0.00011882125	NC_071460.1	29883082
FAM76B	5.074076923076923e-05	NC_071452.1	41173558
FAM81B	0.0	NC_071443.1	111980664
FAM83B	0.0	NC_071445.1	59342094
FAM83G	0.0	NC_071446.1	79017984
FAM89A	0.0034188	NC_071460.1	50081405
FAM91A1	0.0	NC_071457.1	71806665
FANCC	0.000308071	NC_071442.1	77740992
FANCI	0.0	NC_071447.1	16737137
FAP	0.0	NC_071447.1	64258418
FAR1	0.0	NC_071452.1	76289419
FAR2	0.0	NC_071450.1	38428602
FARP2	0.0	NC_071447.1	159204633
FARS2	0.0006571646666666667	NC_071445.1	23311436
FASLG	0.0	NC_071459.1	23653799
FASN	0.0	NC_071446.1	133799357
FASTKD2	0.0	NC_071447.1	124710060
FAT2	0.00010162609756097561	NC_071443.1	48530617
FAT3	0.0010222550454545456	NC_071452.1	44289915
FAT4	0.0	NC_071444.1	68177300
FAXC	0.0	NC_071445.1	101412236
FBH1	0.0010239323076923076	NC_071448.1	6092291
FBLN2	0.0	NC_071456.1	64665198
FBN1	0.0	NC_071451.1	31937679
FBN2	0.0005784542857142856	NC_071443.1	77364509
FBP1	0.0	NC_071442.1	77262753
FBRSL1	0.0	NC_071450.1	132126882
FBXL14	0.000631048	NC_071450.1	12935141
FBXL15	0.0	NC_071453.1	92073049
FBXL17	0.0	NC_071443.1	98551839
FBXL20	0.0	NC_071446.1	115830253
FBXL21P	0.0	NC_071443.1	32361859
FBXL4	0.0006523171428571429	NC_071445.1	101031611
FBXL8	0.0	NC_071461.1	21308726
FBXO10	0.0	NC_071442.1	141530339
FBXO15	0.0	NC_071454.1	111586820
FBXO16	0.0	NC_071454.1	10154638
FBXO2	0.0005787025	NC_071448.1	46619088
FBXO3	0.0	NC_071452.1	95861399
FBXO30	0.00031574500000000003	NC_071445.1	148664872
FBXO4	0.0	NC_071443.1	160396530
FBXO44	0.0	NC_071448.1	46626252
FBXW11	0.0	NC_071443.1	60950005
FBXW2	0.0	NC_071442.1	166224204
FBXW4	0.0	NC_071453.1	91232024
FBXW7	0.0	NC_071444.1	40357629
FCAMR	0.0	NC_071460.1	30710236
FCGR1A	0.0034324949999999994	NC_071459.1	3225086
FCHO2	0.0	NC_071443.1	134863422
FCHSD1	0.0017542124782608695	NC_071443.1	38126705
FCN1	0.0003115265	NC_071442.1	180531611
FCN2	0.0	NC_071442.1	180483716
FCN3	0.0	NC_071448.1	61150338
FCRL1	0.0	NC_071459.1	11599856
FCRL4	0.0	NC_071459.1	11436050
FECH	0.0	NC_071454.1	95661934
FER	0.0	NC_071443.1	97838068
FER1L6	0.0	NC_071457.1	71579390
FEZ1	0.0	NC_071452.1	22823485
FGD1	0.0	NC_071464.1	53091844
FGD2	0.0	NC_071445.1	41443477
FGD3	0.0	NC_071442.1	79736657
FGD5	0.0	NC_071456.1	65746100
FGD6	0.0	NC_071450.1	94744233
FGF12	0.0	NC_071456.1	15078555
FGF13	0.0	NC_071464.1	131398347
FGF14	0.0	NC_071442.1	17421274
FGF18	0.0	NC_071443.1	60443322
FGF2	0.00125	NC_071444.1	70889868
FGF20	0.0	NC_071454.1	21546332
FGF9	0.00485437	NC_071446.1	137291724
FGFBP1	0.0	NC_071444.1	174131973
FGFR1	0.0	NC_071454.1	36110757
FGFR1OP2	0.0019681399999999997	NC_071450.1	40729888
FGFR4	0.00041279686274509807	NC_071443.1	65828995
FGGY	2.0581384615384614e-05	NC_071448.1	93472571
FGR	0.0	NC_071448.1	61381965
FHAD1	0.0	NC_071448.1	49802408
FHIP1A	0.00020898666666666668	NC_071444.1	41123001
FHIP1B	0.0	NC_071452.1	68613964
FHIP2A	0.0	NC_071453.1	104416319
FHIP2B	0.0005055608695652174	NC_071454.1	16264215
FHIT	8.520072727272727e-06	NC_071456.1	35278008
FHL5	0.0	NC_071445.1	98733173
FHOD3	0.0	NC_071454.1	74646544
FIBCD1	0.00018127436363636366	NC_071442.1	176601680
FIBIN	0.0	NC_071452.1	89077184
FIG4	0.0021231433333333332	NC_071445.1	111939205
FIGNL1	0.0005192260714285714	NC_071449.1	16997700
FIS1	0.0015822775	NC_071443.1	10571387
FITM2	0.000280034	NC_071446.1	37644006
FKBP15	0.0	NC_071442.1	158583906
FKBP1A	0.0009041600000000001	NC_071446.1	7000938
FKBP5	0.0	NC_071445.1	40022359
FKBP6	0.005077455833333334	NC_071443.1	8368248
FKBP7	0.0	NC_071447.1	46398774
FKTN	0.0	NC_071442.1	150981610
FLACC1	0.005491193333333334	NC_071447.1	118874622
FLI1	0.000516262	NC_071452.1	26270814
FLII	0.0	NC_071446.1	78683762
FLNB	0.0	NC_071456.1	33699354
FLNC	0.0	NC_071449.1	115605838
FLRT1	0.00193237	NC_071452.1	117932980
FLRT3	0.0	NC_071446.1	19341141
FLT1	5.6079e-05	NC_071446.1	143538627
FLT4	0.00012768136363636363	NC_071443.1	69146634
FLVCR2	0.000976562	NC_071451.1	106398560
FMN1	0.0001941276	NC_071451.1	48260050
FMN2	0.0	NC_071460.1	41696769
FMNL1	0.000196464	NC_071446.1	81614912
FMNL2	0.0	NC_071447.1	74186463
FMNL3	0.0006767429370629372	NC_071450.1	66364306
FMO3	0.00042481	NC_071459.1	25057070
FMR1	0.0	NC_071464.1	139894133
FMR1NB	0.0	NC_071464.1	139959579
FN1	4.668063943161634e-05	NC_071447.1	133652826
FN3K	0.0	NC_071446.1	134472985
FNBP1L	0.0	NC_071448.1	128627336
FNDC1	0.0	NC_071445.1	162175697
FNDC3A	0.0	NC_071442.1	66085893
FNDC3B	0.0	NC_071458.1	7658262
FNDC9	0.00156087	NC_071443.1	18206669
FNIP1	0.0	NC_071443.1	73663770
FNIP2	0.0013142225	NC_071444.1	33493179
FNTB	0.0	NC_071451.1	95608816
FOCAD	0.0	NC_071442.1	124545398
FOXD3	0.0	NC_071448.1	97519640
FOXE3	0.0	NC_071448.1	81233121
FOXF2	0.0	NC_071445.1	28760480
FOXJ3	0.0011044833333333334	NC_071448.1	75835266
FOXK1	0.0	NC_071443.1	15753773
FOXL3	0.0030612257142857142	NC_071443.1	57028697
FOXN1	0.000512295	NC_071446.1	101124571
FOXO3	0.0	NC_071445.1	110876599
FOXO6	0.0	NC_071448.1	75003098
FOXP1	0.0	NC_071456.1	46583473
FOXP2	0.0	NC_071449.1	82021083
FOXP3	0.0	NC_071464.1	48193990
FOXRED1	0.0	NC_071452.1	23696549
FOXS1	0.0	NC_071446.1	5271227
FPR3	0.00201207	NC_071463.1	43843324
FRA10AC1	0.0	NC_071453.1	83075559
FRAS1	0.0	NC_071444.1	115610617
FREM1	0.000637755	NC_071442.1	118172798
FREM3	0.00223444	NC_071444.1	49116194
FREY1	0.0	NC_071452.1	107671337
FRK	0.0	NC_071445.1	118452140
FRMD3	0.0	NC_071442.1	96374158
FRMD5	7.266133333333334e-05	NC_071451.1	27270675
FRMD6	0.0	NC_071451.1	81900338
FRMD7	0.0	NC_071464.1	123554964
FRMPD1	4.823147999999999e-05	NC_071442.1	141696477
FRMPD2	0.0009225173170731706	NC_071453.1	37085322
FRMPD3	0.00862069	NC_071464.1	100173452
FRMPD4	0.0	NC_071464.1	10838838
FRS2	0.0005868866666666666	NC_071450.1	68445288
FRY	0.0	NC_071446.1	147309022
FRYL	0.0	NC_071444.1	141345681
FRZB	0.0008818333333333333	NC_071447.1	42882077
FSTL1	0.0	NC_071456.1	76439828
FSTL4	0.0	NC_071443.1	71915159
FSTL5	0.00145215	NC_071444.1	29981322
FTCDNL1	0.0001454924	NC_071447.1	117186195
FTO	0.0	NC_071461.1	8408610
FTSJ1	0.0	NC_071464.1	47468193
FTSJ3	0.002185183448275862	NC_071446.1	85107148
FUBP1	0.0	NC_071448.1	112372668
FUBP3	0.00021367500000000003	NC_071442.1	176297566
FURIN	0.0	NC_071447.1	17806670
FUT11	0.0	NC_071453.1	52887601
FUT8	0.0	NC_071451.1	96476650
FUT9	0.000814711	NC_071445.1	98286628
FUZ	0.0	NC_071463.1	42166892
FXR1	0.0	NC_071456.1	2815392
FYB1	0.000558243	NC_071443.1	163023511
FYCO1	0.00017338712500000001	NC_071456.1	22400825
FYN	0.000240384375	NC_071445.1	114038799
G0S2	0.0	NC_071460.1	33460404
G3BP2	0.000386997	NC_071444.1	118666123
GAB1	0.0	NC_071444.1	49355320
GAB2	0.0	NC_071452.1	59059103
GAB3	0.0	NC_071464.1	145809348
GABBR1	0.0	NC_071445.1	31416634
GABBR2	0.0	NC_071442.1	143522677
GABRA1	0.0	NC_071443.1	22833565
GABRA2	0.00018566280000000001	NC_071444.1	143718316
GABRA4	0.0	NC_071444.1	143029479
GABRA6	0.000913242	NC_071443.1	22654776
GABRB1	0.0	NC_071444.1	142849349
GABRB2	0.0	NC_071443.1	22289131
GABRD	0.0	NC_071448.1	37286030
GABRE	0.0	NC_071464.1	143646674
GABRG1	0.0	NC_071444.1	143908791
GABRP	0.0	NC_071443.1	59806017
GABRQ	0.0	NC_071464.1	144262559
GABRR1	0.0	NC_071445.1	91421620
GABRR2	0.0	NC_071445.1	91489125
GABRR3	0.0	NC_071462.1	481297
GAD1	0.0	NC_071447.1	55477331
GAD2	0.0	NC_071448.1	24818057
GADD45G	0.0	NC_071442.1	72746806
GALE	0.0	NC_071448.1	57632505
GALK2	0.0	NC_071451.1	32797854
GALNS	2.5545434782608696e-05	NC_071461.1	43123438
GALNT1	0.0	NC_071454.1	73769517
GALNT10	0.0	NC_071443.1	51660920
GALNT15	0.0	NC_071458.1	48045820
GALNT16	0.000413394	NC_071451.1	100210078
GALNT17	0.0	NC_071443.1	3003523
GALNT18	0.001256774	NC_071452.1	73784500
GALNT3	0.0	NC_071447.1	60658964
GALNT4	0.000563169	NC_071450.1	88127340
GALNT6	0.0	NC_071450.1	64509709
GALNTL6	0.0	NC_071444.1	17138206
GALR1	0.00251099	NC_071454.1	114743987
GALR2	0.0	NC_071446.1	128074067
GAN	2.769933333333333e-05	NC_071461.1	35553108
GANC	0.0	NC_071451.1	25742000
